german_credit,checking_status,duration,credit_history,purpose,credit_real,credit_amount,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,class
0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,5951,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0
2,2,0,1,2096,1,2,1,0,0,2,0,2,0,0,1,1,1,1,0,1
0,3,1,2,7882,1,2,1,0,1,0,1,3,0,1,1,0,1,1,0,1
0,4,2,3,4870,1,1,2,0,0,0,2,4,0,1,0,0,1,1,0,0
2,5,1,1,9055,0,1,1,0,0,0,2,5,0,1,1,1,1,0,0,1
2,4,1,2,2835,2,0,2,0,0,0,1,4,0,0,1,0,0,1,0,1
1,5,1,4,6948,1,1,1,0,0,1,3,5,0,2,1,2,0,0,0,1
2,2,1,0,3059,3,2,1,2,0,0,0,6,0,0,1,1,0,1,0,1
1,6,0,3,5234,1,3,0,3,0,1,3,7,0,0,0,2,0,1,0,0
1,2,1,3,1295,1,4,2,1,0,3,3,8,0,2,1,0,0,1,0,0
0,1,1,5,4308,1,4,2,1,0,0,1,9,0,2,1,0,0,1,0,0
1,2,1,0,1567,1,1,3,1,0,3,3,1,0,0,1,0,0,0,0,1
0,4,0,3,1199,1,0,0,0,0,0,3,10,0,0,0,1,0,1,0,0
0,7,1,3,1403,1,1,1,1,0,0,3,7,0,2,1,0,0,1,0,1
0,4,1,0,1282,4,1,0,1,0,1,3,11,0,0,1,1,0,1,0,0
2,4,0,0,2424,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1
0,6,3,5,8072,0,4,1,0,0,2,3,8,1,0,2,0,0,1,0,1
1,4,1,4,12579,1,0,0,1,0,1,2,12,0,1,1,2,0,0,0,0
2,4,1,0,3430,2,0,2,0,0,1,3,13,0,0,1,0,1,0,0,1
2,8,0,3,2134,1,1,0,0,0,0,3,14,0,0,2,0,0,0,0,1
0,0,1,0,2647,2,1,1,0,0,2,0,12,0,2,1,0,1,1,0,1
0,9,0,3,2241,1,4,3,0,0,2,0,14,0,2,0,1,1,1,1,1
1,2,0,4,1804,4,4,2,0,0,0,1,12,0,0,1,0,0,1,0,1
2,9,0,2,2069,0,1,1,3,0,3,3,15,0,0,0,0,0,1,1,1
0,0,1,2,1374,1,1,3,0,0,1,0,16,1,0,1,1,0,0,0,1
2,0,3,0,426,1,0,0,3,0,0,3,17,0,0,1,1,0,1,0,1
3,2,4,0,409,3,1,2,1,0,2,0,18,0,2,0,0,0,1,0,1
1,10,1,0,2415,1,1,2,0,1,1,0,19,0,0,1,0,0,1,0,1
0,11,2,5,6836,1,0,2,0,0,0,2,20,0,0,0,0,0,0,0,0
1,12,1,5,1913,3,4,2,3,0,2,0,16,1,0,1,0,0,0,0,1
0,4,1,2,4020,1,1,1,0,0,1,3,21,2,0,1,0,0,1,0,1
1,12,1,3,5866,4,1,1,0,0,1,3,22,0,0,0,0,0,0,0,1
2,2,0,5,1264,0,0,0,0,0,0,2,23,0,2,1,1,0,1,0,1
3,2,1,2,1474,1,4,0,1,0,3,1,24,1,0,1,2,0,0,0,1
1,13,0,0,4746,1,4,0,0,0,1,1,8,0,0,0,1,0,1,0,0
2,1,0,1,6110,1,1,3,0,0,2,2,13,1,1,1,0,0,0,0,1
3,12,1,0,2100,1,1,0,0,2,1,0,25,2,0,1,0,0,1,0,0
3,9,1,6,1225,1,1,1,0,0,1,3,25,0,0,1,0,0,0,0,1
1,8,1,0,458,1,1,0,0,0,2,0,9,0,0,1,0,0,1,0,1
2,6,1,0,2333,2,0,0,0,0,1,3,22,1,0,1,2,0,1,0,1
1,2,1,0,1158,2,1,2,2,0,3,3,15,0,0,1,0,0,0,0,1
1,12,2,7,6204,1,1,1,0,0,0,0,12,0,0,1,1,1,0,0,1
0,6,0,4,6187,4,2,3,3,0,0,3,9,0,2,0,0,0,1,0,1
0,1,0,4,6143,1,0,0,1,0,0,2,26,2,1,0,1,0,1,0,0
2,14,0,3,1393,1,4,0,1,0,0,3,5,0,0,0,2,0,1,0,1
2,5,1,0,2299,2,0,0,0,0,0,3,17,0,0,1,0,0,1,0,1
0,0,1,4,1352,2,3,3,1,0,1,1,27,0,2,1,3,0,0,0,1
2,14,0,3,7228,1,1,3,0,0,0,1,17,0,0,0,1,0,1,0,1
2,2,1,0,2073,4,1,0,1,2,1,0,7,0,0,1,0,0,1,0,1
1,4,2,2,2333,0,4,0,0,0,1,1,28,1,0,1,1,0,1,0,1
1,15,2,4,5965,1,0,3,0,0,1,3,22,0,0,0,2,0,0,0,1
2,2,1,0,1262,1,1,2,0,0,1,3,8,0,0,1,0,0,1,0,1
2,12,1,4,3378,0,1,1,0,0,3,1,13,0,0,1,0,0,0,0,1
1,5,2,3,2225,1,0,0,0,0,0,2,23,1,1,0,0,0,0,0,0
2,0,4,3,783,0,1,3,0,1,1,0,15,2,0,1,1,1,1,0,1
1,2,1,0,6468,0,3,1,0,0,3,2,29,0,0,1,2,0,0,0,0
2,5,0,0,9566,1,1,1,1,0,1,3,13,2,0,0,0,0,1,0,1
3,12,1,3,1961,1,0,2,1,0,1,3,27,0,0,1,2,0,1,0,1
0,5,0,2,6229,1,4,0,1,2,0,2,27,0,2,0,1,0,0,0,0
1,8,1,5,1391,1,1,1,3,0,3,0,21,1,0,1,0,0,0,0,1
1,7,0,0,1537,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,1
1,5,3,5,1953,1,0,0,0,0,0,2,6,0,1,1,2,0,0,0,0
1,1,3,5,14421,1,1,1,0,0,1,3,8,0,0,1,0,0,0,0,0
2,4,1,0,3181,1,4,0,1,0,0,1,15,0,0,1,0,0,0,0,1
2,15,1,7,5190,0,0,0,0,0,0,1,14,0,0,3,0,1,0,0,1
2,2,1,0,2171,1,4,1,1,0,1,3,28,1,0,1,0,0,1,0,1
1,2,1,3,1007,3,1,0,3,0,3,0,1,0,0,1,0,0,1,0,1
2,5,1,1,1819,1,1,0,0,0,0,2,25,2,1,1,0,0,0,0,0
2,5,1,0,2394,0,1,0,1,0,0,3,8,0,0,1,0,0,1,0,1
2,5,1,4,8133,1,1,3,1,0,1,1,22,1,0,1,0,0,1,0,1
2,10,0,0,730,0,0,0,0,0,1,1,31,0,2,0,1,0,0,0,1
0,16,0,8,1164,1,0,2,0,0,0,2,32,1,1,0,2,1,0,0,1
1,3,0,5,5954,1,2,1,1,0,3,0,33,1,0,0,1,0,1,0,1
0,5,1,1,1977,0,0,0,0,0,0,2,34,0,0,1,2,0,0,0,0
