,psi_var,psi_0,psi_1,psi_2
1,purpose,0.0,0.10347713214329587,0.08269471580721267
2,employment,0.0,0.002883794151133107,0.1533367832215332
3,other_parties,0.0,0.001608861941997133,0.06898800987961887
4,property_magnitude,0.0,0.11100032120387457,0.07282833541142782
5,housing,0.0,0.019599078248347935,0.004972343116508269
6,job,0.0,0.0,0.0
7,german_credit,0.0,0.029857727921866677,0.013920109098139368
9,installment_commitment,0.0,0.017420314595497262,0.13323193526856106
10,personal_status,0.0,0.035216942873350685,0.03604167650132989
12,credit_history,0.0,0.1817823719629661,0.2425242735696831
13,num_dependents,0.0,0.0015319222160875322,0.020022489157577185
14,credit_real,0.0,0.0008556403895919435,0.017727273529673758
16,existing_credits,0.0,0.0544277411723082,0.05238830595930779
17,residence_since,0.0,0.08636112798732953,0.040844102200609154
18,credit_amount,0.0,0.04580720355080348,0.07894177650195207
19,own_telephone,0.0,0.0003083007160087286,0.012085605230916006
