,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,"(-inf, 9.0]",20,106,0.15873015873015872,0.8412698412698413,0.08928571428571429,0.17966101694915254,0.6992303355133508,0.06319315320347656,0.2593190058540325,0
1,"(9.0, 12.0]",38,147,0.20540540540540542,0.7945945945945946,0.16964285714285715,0.24915254237288137,0.3843699420076253,0.030561133100908952,0.2593190058540325,0
2,"(12.0, 15.0]",12,48,0.2,0.8,0.05357142857142857,0.08135593220338982,0.41781787607516535,0.01160886229530877,0.2593190058540325,0
3,"(15.0, 18.0]",30,57,0.3448275862068966,0.6551724137931034,0.13392857142857142,0.09661016949152543,-0.3266225988723304,0.012189033426440173,0.2593190058540325,0
4,"(18.0, 24.0]",45,128,0.26011560693641617,0.7398843930635838,0.20089285714285715,0.21694915254237288,0.076891289104572,0.001234589251512573,0.2593190058540325,0
5,"(24.0, 30.0]",15,29,0.3409090909090909,0.6590909090909091,0.06696428571428571,0.04915254237288136,-0.30923085616046125,0.005507940643172863,0.2593190058540325,0
6,"(30.0, 36.0]",31,43,0.4189189189189189,0.581081081081081,0.13839285714285715,0.07288135593220339,-0.641263573836309,0.04201013939372552,0.2593190058540325,0
7,"(36.0, inf]",33,32,0.5076923076923077,0.49230769230769234,0.14732142857142858,0.05423728813559322,-0.9992481437114791,0.0930141545394871,0.2593190058540325,0
0,"(-inf, 9.0]",3,11,0.21428571428571427,0.7857142857142857,0.05263157894736842,0.13414634146341464,0.935615004700558,0.07626643491461546,0.15161904360941358,1
1,"(9.0, 12.0]",11,14,0.44,0.56,0.19298245614035087,0.17073170731707318,-0.1225059226128147,0.0027258485134216337,0.15161904360941358,1
2,"(12.0, 18.0]",11,21,0.34375,0.65625,0.19298245614035087,0.25609756097560976,0.28295918549534954,0.017858998656638453,0.15161904360941358,1
3,"(18.0, 24.0]",17,22,0.4358974358974359,0.5641025641025641,0.2982456140350877,0.2682926829268293,-0.1058388701276031,0.0031701843855080052,0.15161904360941358,1
4,"(24.0, 30.0]",2,3,0.4,0.6,0.03508771929824561,0.036585365853658534,0.041797128678461457,6.259732579144846e-05,0.15161904360941358,1
5,"(30.0, 36.0]",3,3,0.5,0.5,0.05263157894736842,0.036585365853658534,-0.363667979429703,0.005835493893287917,0.15161904360941358,1
6,"(36.0, inf]",10,8,0.5555555555555556,0.4444444444444444,0.17543859649122806,0.0975609756097561,-0.5868115307439127,0.04569948592015066,0.15161904360941358,1
0,"(-inf, 9.0]",1,2,0.3333333333333333,0.6666666666666666,0.05263157894736842,0.07142857142857142,0.3053816495511819,0.005740256570510938,0.29189632517595765,2
1,"(9.0, 12.0]",3,3,0.5,0.5,0.15789473684210525,0.10714285714285714,-0.38776553100876343,0.01967982958127183,0.29189632517595765,2
2,"(12.0, 18.0]",3,5,0.375,0.625,0.15789473684210525,0.17857142857142858,0.12306009275722721,0.0025444756021231205,0.29189632517595765,2
3,"(18.0, 24.0]",4,8,0.3333333333333333,0.6666666666666666,0.21052631578947367,0.2857142857142857,0.3053816495511819,0.022961026282043752,0.29189632517595765,2
4,"(24.0, 30.0]",2,6,0.25,0.75,0.10526315789473684,0.21428571428571427,0.7108467576593461,0.07749833072225953,0.29189632517595765,2
5,"(30.0, 36.0]",4,2,0.6666666666666666,0.3333333333333333,0.21052631578947367,0.07142857142857142,-1.0809127115687087,0.15035252003023392,0.29189632517595765,2
6,"(36.0, inf]",2,2,0.5,0.5,0.10526315789473684,0.07142857142857142,-0.38776553100876343,0.01311988638751455,0.29189632517595765,2
