,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,0,41,158,0.20603015075376885,0.7939698492462312,0.18303571428571427,0.2677966101694915,0.3805464812779338,0.03225546067853673,0.13278603051869625,0
1,1,80,202,0.28368794326241137,0.7163120567375887,0.35714285714285715,0.3423728813559322,-0.04223542231740215,0.0006238161649785799,0.13278603051869625,0
2,2,29,115,0.2013888888888889,0.7986111111111112,0.12946428571428573,0.19491525423728814,0.40915981333205065,0.02677990606327359,0.13278603051869625,0
3,3,18,32,0.36,0.64,0.08035714285714286,0.05423728813559322,-0.3931123401411636,0.010268037213735601,0.13278603051869625,0
4,4,56,83,0.4028776978417266,0.5971223021582733,0.25,0.14067796610169492,-0.5749875679832765,0.06285881039817176,0.13278603051869625,0
5,0,20,26,0.43478260869565216,0.5652173913043478,0.3508771929824561,0.3170731707317073,-0.10130371496221188,0.0034244730346661245,0.0315196682241573,1
6,1,17,21,0.4473684210526316,0.5526315789473685,0.2982456140350877,0.25609756097560976,-0.15235888576249595,0.006421630401200618,0.0315196682241573,1
7,2,9,15,0.375,0.625,0.15789473684210525,0.18292682926829268,0.14715764433628784,0.0036836637542459736,0.0315196682241573,1
8,3,2,5,0.2857142857142857,0.7142857142857143,0.03508771929824561,0.06097560975609756,0.5526227524444521,0.01430623727979861,0.0315196682241573,1
9,4,9,15,0.375,0.625,0.15789473684210525,0.18292682926829268,0.14715764433628784,0.0036836637542459736,0.0315196682241573,1
10,0,3,5,0.375,0.625,0.15789473684210525,0.17857142857142858,0.12306009275722721,0.0025444756021231205,0.3075787448778977,2
11,1,7,12,0.3684210526315789,0.631578947368421,0.3684210526315789,0.42857142857142855,0.1512309697239235,0.009096599682642014,0.3075787448778977,2
12,2,1,5,0.16666666666666666,0.8333333333333334,0.05263157894736842,0.17857142857142858,1.221672381425337,0.1538572360065744,0.3075787448778977,2
13,3,3,2,0.6,0.4,0.15789473684210525,0.07142857142857142,-0.7932306391169278,0.06858761165296744,0.3075787448778977,2
14,4,5,4,0.5555555555555556,0.4444444444444444,0.2631578947368421,0.14285714285714285,-0.6109090823229733,0.07349282193359076,0.3075787448778977,2
