,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,0,47,187,0.20085470085470086,0.7991452991452992,0.20982142857142858,0.3169491525423729,0.41248453009980274,0.04418852888281634,0.17248664950721573,0
1,1,16,24,0.4,0.6,0.07142857142857142,0.04067796610169491,-0.5630113769365609,0.01731294064671749,0.17248664950721573,0
2,2,47,101,0.31756756756756754,0.6824324324324325,0.20982142857142858,0.1711864406779661,-0.20350356991352447,0.007862357959885413,0.17248664950721573,0
3,3,64,131,0.3282051282051282,0.6717948717948717,0.2857142857142857,0.22203389830508474,-0.2521622452032456,0.016057789464516605,0.17248664950721573,0
4,4,12,73,0.1411764705882353,0.8588235294117647,0.05357142857142857,0.12372881355932204,0.8370763063156657,0.05872708468643201,0.17248664950721573,0
5,5,25,43,0.36764705882352944,0.6323529411764706,0.11160714285714286,0.07288135593220339,-0.4261521942193636,0.016503079070934498,0.17248664950721573,0
6,6,4,7,0.36363636363636365,0.6363636363636364,0.017857142857142856,0.011864406779661017,-0.4088606971093025,0.0024501942502312916,0.17248664950721573,0
7,7,7,14,0.3333333333333333,0.6666666666666666,0.03125,0.023728813559322035,-0.27532930448477994,0.002070803031612222,0.17248664950721573,0
8,8,1,3,0.25,0.75,0.004464285714285714,0.005084745762711864,0.13013580362338442,8.074406701814105e-05,0.17248664950721573,0
9,9,1,7,0.125,0.875,0.004464285714285714,0.011864406779661017,0.9774336640105882,0.00723312744705172,0.17248664950721573,0
10,0,9,24,0.2727272727272727,0.7272727272727273,0.15789473684210525,0.2926829268292683,0.6171612735820233,0.08318605099629325,0.5108463095249957,1
11,1,4,4,0.5,0.5,0.07017543859649122,0.04878048780487805,-0.36366797942970286,0.007780658524383885,0.5108463095249957,1
12,2,11,11,0.5,0.5,0.19298245614035087,0.13414634146341464,-0.36366797942970286,0.021396810942055682,0.5108463095249957,1
13,3,22,12,0.6470588235294118,0.35294117647058826,0.38596491228070173,0.14634146341463414,-0.9698037830000186,0.23238772720582387,0.5108463095249957,1
14,"4, 6, 9",3,12,0.2,0.8,0.05263157894736842,0.14634146341463414,1.0226263816901875,0.09583020008136545,0.5108463095249957,1
15,5,5,15,0.25,0.75,0.08771929824561403,0.18292682926829268,0.7349443092384068,0.06997223312175675,0.5108463095249957,1
16,8,3,4,0.42857142857142855,0.5714285714285714,0.05263157894736842,0.04878048780487805,-0.07598590697792199,0.0002926286533167724,0.5108463095249957,1
17,0,6,7,0.46153846153846156,0.5384615384615384,0.3157894736842105,0.25,-0.23361485118150507,0.015369398104046382,1.1229115905217826,2
18,"3, 1, 7, 8",7,2,0.7777777777777778,0.2222222222222222,0.3684210526315789,0.07142857142857142,-1.6405284995041316,0.48722462955197887,1.1229115905217826,2
19,"4, 2",2,14,0.125,0.875,0.10526315789473684,0.5,1.55814461804655,0.6150570860710065,1.1229115905217826,2
20,5,4,5,0.4444444444444444,0.5555555555555556,0.21052631578947367,0.17857142857142858,-0.16462197969455358,0.00526047679475077,1.1229115905217826,2
