,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,0,24,126,0.16,0.84,0.10714285714285714,0.2135593220338983,0.6897515915588072,0.07340092602665757,0.22230391787810524,0
1,1,163,327,0.3326530612244898,0.6673469387755102,0.7276785714285714,0.5542372881355933,-0.27226651495423415,0.047222253751369195,0.22230391787810524,0
2,2,8,43,0.1568627450980392,0.8431372549019608,0.03571428571428571,0.07288135593220339,0.7132820889690014,0.02651060548589388,0.22230391787810524,0
3,3,3,36,0.07692307692307693,0.9230769230769231,0.013392857142857142,0.061016949152542375,1.516430164743275,0.07221860969199587,0.22230391787810524,0
4,4,26,58,0.30952380952380953,0.6904761904761905,0.11607142857142858,0.09830508474576272,-0.16613001251978798,0.002951522922188727,0.22230391787810524,0
5,0,7,19,0.2692307692307692,0.7307692307692307,0.12280701754385964,0.23170731707317074,0.6348608506814243,0.06913653679864036,0.1164818526128118,1
6,1,39,44,0.46987951807228917,0.5301204819277109,0.6842105263157895,0.5365853658536586,-0.2430399916410882,0.035878817764730606,0.1164818526128118,1
7,2,3,6,0.3333333333333333,0.6666666666666666,0.05263157894736842,0.07317073170731707,0.32947920113024226,0.006767223643239892,0.1164818526128118,1
8,3,2,4,0.3333333333333333,0.6666666666666666,0.03508771929824561,0.04878048780487805,0.3294792011302424,0.004511482428826598,0.1164818526128118,1
9,4,6,9,0.4,0.6,0.10526315789473684,0.10975609756097561,0.041797128678461457,0.0001877919773743457,0.1164818526128118,1
10,"0, 2",1,9,0.1,0.9,0.05263157894736842,0.32142857142857145,1.809459046327456,0.486377149670726,0.6036364405351107,2
11,1,15,15,0.5,0.5,0.7894736842105263,0.5357142857142857,-0.3877655310087636,0.09839914790635919,0.6036364405351107,2
12,3,1,2,0.3333333333333333,0.6666666666666666,0.05263157894736842,0.07142857142857142,0.3053816495511819,0.005740256570510938,0.6036364405351107,2
13,4,2,2,0.5,0.5,0.10526315789473684,0.07142857142857142,-0.38776553100876343,0.01311988638751455,0.6036364405351107,2
