,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,0,33,218,0.13147410358565736,0.8685258964143426,0.14732142857142858,0.3694915254237288,0.9195110162778835,0.20428785154321438,0.4500953075187681,0
1,1,140,312,0.30973451327433627,0.6902654867256637,0.625,0.5288135593220339,-0.16711571984454723,0.016074266273183146,0.4500953075187681,0
2,2,19,47,0.2878787878787879,0.7121212121212122,0.08482142857142858,0.07966101694915254,-0.06276786250110733,0.00032390800715613867,0.4500953075187681,0
3,3,19,9,0.6785714285714286,0.32142857142857145,0.08482142857142858,0.015254237288135594,-1.7156908868749463,0.11935579611023198,0.4500953075187681,0
4,4,13,4,0.7647058823529411,0.23529411764705882,0.05803571428571429,0.006779661016949152,-2.1471314813863716,0.11005348558498246,0.4500953075187681,0
5,0,14,19,0.42424242424242425,0.5757575757575758,0.24561403508771928,0.23170731707317074,-0.05828632987852104,0.0008105715537235474,0.07396985628513729,1
6,1,22,38,0.36666666666666664,0.6333333333333333,0.38596491228070173,0.4634146341463415,0.18287572693836696,0.014163674187353203,0.07396985628513729,1
7,2,4,8,0.3333333333333333,0.6666666666666666,0.07017543859649122,0.0975609756097561,0.3294792011302424,0.009022964857653196,0.07396985628513729,1
8,3,4,6,0.4,0.6,0.07017543859649122,0.07317073170731707,0.041797128678461457,0.00012519465158289693,0.07396985628513729,1
9,4,13,11,0.5416666666666666,0.4583333333333333,0.22807017543859648,0.13414634146341464,-0.530722064092869,0.04984745103482444,0.07396985628513729,1
10,0,3,6,0.3333333333333333,0.6666666666666666,0.15789473684210525,0.21428571428571427,0.3053816495511819,0.017220769711532812,0.23378464411081004,2
11,1,7,11,0.3888888888888889,0.6111111111111112,0.3684210526315789,0.39285714285714285,0.0642195927342938,0.0015692757623041727,0.23378464411081004,2
12,"2, 3",7,5,0.5833333333333334,0.4166666666666667,0.3684210526315789,0.17857142857142858,-0.7242377676299763,0.13749626791471353,0.23378464411081004,2
13,4,2,6,0.25,0.75,0.10526315789473684,0.21428571428571427,0.7108467576593461,0.07749833072225953,0.23378464411081004,2
