,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,"(-inf, 23.0]",37,55,0.40217391304347827,0.5978260869565217,0.16517857142857142,0.09322033898305085,-0.5720612124564787,0.04116451369900962,0.13768041408468693,0
1,"(23.0, 26.0]",39,76,0.3391304347826087,0.6608695652173913,0.17410714285714285,0.1288135593220339,-0.3013047908880406,0.013647173715616,0.13768041408468693,0
2,"(26.0, 27.0]",8,31,0.20512820512820512,0.7948717948717948,0.03571428571428571,0.05254237288135593,0.38606917776058497,0.006496805775874251,0.13768041408468693,0
3,"(27.0, 30.0]",33,65,0.336734693877551,0.6632653061224489,0.14732142857142858,0.11016949152542373,-0.29059677661556854,0.010796233150593536,0.13768041408468693,0
4,"(30.0, 33.0]",24,54,0.3076923076923077,0.6923076923076923,0.10714285714285714,0.09152542372881356,-0.15754626882839642,0.0024604683630584903,0.13768041408468693,0
5,"(33.0, 36.0]",19,75,0.20212765957446807,0.7978723404255319,0.08482142857142858,0.1271186440677966,0.40457264932514464,0.017112296532442176,0.13768041408468693,0
6,"(36.0, 39.0]",10,50,0.16666666666666666,0.8333333333333334,0.044642857142857144,0.0847457627118644,0.640961427389375,0.02570441559597221,0.13768041408468693,0
7,"(39.0, 44.0]",18,60,0.23076923076923078,0.7692307692307693,0.08035714285714286,0.1016949152542373,0.23549631928121062,0.005024966861175953,0.13768041408468693,0
8,"(44.0, 52.0]",17,65,0.2073170731707317,0.7926829268292683,0.07589285714285714,0.11016949152542373,0.37269744079469586,0.012774813913438049,0.13768041408468693,0
9,"(52.0, inf]",19,59,0.24358974358974358,0.7564102564102564,0.08482142857142858,0.1,0.1646219796945538,0.0024987264775066203,0.13768041408468693,0
0,"(-inf, 23.0]",3,4,0.42857142857142855,0.5714285714285714,0.05263157894736842,0.04878048780487805,-0.07598590697792199,0.0002926286533167724,0.7266097650094843,1
1,"(23.0, 26.0]",12,4,0.75,0.25,0.21052631578947367,0.04878048780487805,-1.4622802680978126,0.2365177327090172,0.7266097650094843,1
2,"(26.0, 27.0]",5,4,0.5555555555555556,0.4444444444444444,0.08771929824561403,0.04878048780487805,-0.5868115307439127,0.02284974296007533,0.7266097650094843,1
3,"(27.0, 30.0]",4,13,0.23529411764705882,0.7647058823529411,0.07017543859649122,0.15853658536585366,0.8149870169119432,0.07201318741648108,0.7266097650094843,1
4,"(30.0, 33.0]",8,14,0.36363636363636365,0.6363636363636364,0.14035087719298245,0.17073170731707318,0.1959478085057198,0.005953057083400135,0.7266097650094843,1
5,"(33.0, 36.0]",3,9,0.25,0.75,0.05263157894736842,0.10975609756097561,0.7349443092384068,0.04198333987305405,0.7266097650094843,1
6,"(36.0, 39.0]",5,4,0.5555555555555556,0.4444444444444444,0.08771929824561403,0.04878048780487805,-0.5868115307439127,0.02284974296007533,0.7266097650094843,1
7,"(39.0, 44.0]",8,6,0.5714285714285714,0.42857142857142855,0.14035087719298245,0.07317073170731707,-0.6513500518814839,0.04375779124749378,0.7266097650094843,1
8,"(44.0, 52.0]",2,16,0.1111111111111111,0.8888888888888888,0.03508771929824561,0.1951219512195122,1.715773562250133,0.27458250418551555,0.7266097650094843,1
9,"(52.0, inf]",7,8,0.4666666666666667,0.5333333333333333,0.12280701754385964,0.0975609756097561,-0.23013658680518032,0.005810037921055042,0.7266097650094843,1
0,"(-inf, 23.0]",2,4,0.3333333333333333,0.6666666666666666,0.10526315789473684,0.14285714285714285,0.3053816495511819,0.011480513141021876,0.47691696241886333,2
1,"(23.0, 26.0]",1,3,0.25,0.75,0.05263157894736842,0.10714285714285714,0.7108467576593461,0.03874916536112977,0.47691696241886333,2
2,"(26.0, 30.0]",4,4,0.5,0.5,0.21052631578947367,0.14285714285714285,-0.38776553100876343,0.0262397727750291,0.47691696241886333,2
3,"(30.0, 33.0]",1,4,0.2,0.8,0.05263157894736842,0.14285714285714285,0.9985288301111273,0.0900928267769438,0.47691696241886333,2
4,"(33.0, 36.0]",1,4,0.2,0.8,0.05263157894736842,0.14285714285714285,0.9985288301111273,0.0900928267769438,0.47691696241886333,2
5,"(36.0, 39.0]",3,2,0.6,0.4,0.15789473684210525,0.07142857142857142,-0.7932306391169278,0.06858761165296744,0.47691696241886333,2
6,"(39.0, 44.0]",2,4,0.3333333333333333,0.6666666666666666,0.10526315789473684,0.14285714285714285,0.3053816495511819,0.011480513141021876,0.47691696241886333,2
7,"(44.0, inf]",5,3,0.625,0.375,0.2631578947368421,0.10714285714285714,-0.8985911547747542,0.14019373279380562,0.47691696241886333,2
