,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,"(-inf, 942.3]",20,62,0.24390243902439024,0.7560975609756098,0.08928571428571429,0.10508474576271186,0.16292562644637518,0.0025740671006358293,0.13467589469761942,0
1,"(942.3, 1262.0]",22,61,0.26506024096385544,0.7349397590361446,0.09821428571428571,0.10338983050847457,0.05135492577027011,0.0002657897187262767,0.13467589469761942,0
2,"(1262.0, 1458.6]",21,58,0.26582278481012656,0.7341772151898734,0.09375,0.09830508474576272,0.047444087778271034,0.00021611184051542972,0.13467589469761942,0
3,"(1458.6, 1880.2]",15,67,0.18292682926829268,0.8170731707317073,0.06696428571428571,0.1135593220338983,0.5281659332440307,0.02460991084228769,0.13467589469761942,0
4,"(1880.2, 2281.5]",19,62,0.2345679012345679,0.7654320987654321,0.08482142857142858,0.10508474576271186,0.21421892083392574,0.00434078594123224,0.13467589469761942,0
5,"(2281.5, 2834.2]",19,62,0.2345679012345679,0.7654320987654321,0.08482142857142858,0.10508474576271186,0.21421892083392574,0.00434078594123224,0.13467589469761942,0
6,"(2834.2, 3573.4]",22,60,0.2682926829268293,0.7317073170731707,0.09821428571428571,0.1016949152542373,0.03482562381905971,0.00012121509501186067,0.13467589469761942,0
7,"(3573.4, 4598.4]",20,61,0.24691358024691357,0.7530864197530864,0.08928571428571429,0.10338983050847457,0.14666510557459495,0.002068581694847494,0.13467589469761942,0
8,"(4598.4, 6918.6]",27,54,0.3333333333333333,0.6666666666666666,0.12053571428571429,0.09152542372881356,-0.27532930448477994,0.007987383121932857,0.13467589469761942,0
9,"(6918.6, inf]",39,43,0.47560975609756095,0.524390243902439,0.17410714285714285,0.07288135593220339,-0.8708380154808092,0.08815126340119751,0.13467589469761942,0
0,"(-inf, 942.3]",10,8,0.5555555555555556,0.4444444444444444,0.17543859649122806,0.0975609756097561,-0.5868115307439127,0.04569948592015066,0.48369291959176414,1
1,"(942.3, 1262.0]",5,4,0.5555555555555556,0.4444444444444444,0.08771929824561403,0.04878048780487805,-0.5868115307439127,0.02284974296007533,0.48369291959176414,1
2,"(1262.0, 1458.6]",2,7,0.2222222222222222,0.7777777777777778,0.03508771929824561,0.08536585365853659,0.8890949890656651,0.04470203731930495,0.48369291959176414,1
3,"(1458.6, 1880.2]",4,11,0.26666666666666666,0.7333333333333333,0.07017543859649122,0.13414634146341464,0.6479329322487771,0.04144885467316739,0.48369291959176414,1
4,"(1880.2, 2281.5]",6,8,0.42857142857142855,0.5714285714285714,0.10526315789473684,0.0975609756097561,-0.07598590697792199,0.0005852573066335448,0.48369291959176414,1
5,"(2281.5, 2834.2]",8,12,0.4,0.6,0.14035087719298245,0.14634146341463414,0.041797128678461457,0.00025038930316579385,0.48369291959176414,1
6,"(2834.2, 3573.4]",1,12,0.07692307692307693,0.9230769230769231,0.017543859649122806,0.14634146341463414,2.1212386703582973,0.27321045775688807,0.48369291959176414,1
7,"(3573.4, 4598.4]",4,3,0.5714285714285714,0.42857142857142855,0.07017543859649122,0.036585365853658534,-0.6513500518814839,0.02187889562374689,0.48369291959176414,1
8,"(4598.4, 6918.6]",7,7,0.5,0.5,0.12280701754385964,0.08536585365853659,-0.36366797942970286,0.013616152417671796,0.48369291959176414,1
9,"(6918.6, inf]",10,10,0.5,0.5,0.17543859649122806,0.12195121951219512,-0.36366797942970286,0.019451646310959712,0.48369291959176414,1
0,"(-inf, 942.3]",2,2,0.5,0.5,0.10526315789473684,0.07142857142857142,-0.38776553100876343,0.01311988638751455,0.8457274340684726,2
1,"(942.3, 1262.0]",2,3,0.4,0.6,0.10526315789473684,0.10714285714285714,0.017699577099400857,3.326988176579108e-05,0.8457274340684726,2
2,"(1262.0, 1880.2]",5,1,0.8333333333333334,0.16666666666666666,0.2631578947368421,0.03571428571428571,-1.9972034434428638,0.45425115912892206,0.8457274340684726,2
3,"(1880.2, 2281.5]",2,2,0.5,0.5,0.10526315789473684,0.07142857142857142,-0.38776553100876343,0.01311988638751455,0.8457274340684726,2
4,"(2281.5, 2834.2]",1,5,0.16666666666666666,0.8333333333333334,0.05263157894736842,0.17857142857142858,1.221672381425337,0.1538572360065744,0.8457274340684726,2
5,"(2834.2, 4598.4]",2,8,0.2,0.8,0.10526315789473684,0.2857142857142857,0.9985288301111273,0.1801856535538876,0.8457274340684726,2
6,"(4598.4, 6918.6]",3,3,0.5,0.5,0.15789473684210525,0.10714285714285714,-0.38776553100876343,0.01967982958127183,0.8457274340684726,2
7,"(6918.6, inf]",2,4,0.3333333333333333,0.6666666666666666,0.10526315789473684,0.14285714285714285,0.3053816495511819,0.011480513141021876,0.8457274340684726,2
