,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,0,44,196,0.18333333333333332,0.8166666666666667,0.19642857142857142,0.33220338983050846,0.5254485402675307,0.07134268013438688,0.141980847517354,0
1,1,54,136,0.28421052631578947,0.7157894736842105,0.24107142857142858,0.2305084745762712,-0.04480564587294772,0.0004732799760792602,0.141980847517354,0
2,2,49,67,0.4224137931034483,0.5775862068965517,0.21875,0.1135593220338983,-0.6556041637643858,0.0689634464637749,0.141980847517354,0
3,3,77,191,0.2873134328358209,0.7126865671641791,0.34375,0.32372881355932204,-0.06000847885177921,0.0012014409431129521,0.141980847517354,0
4,0,10,19,0.3448275862068966,0.6551724137931034,0.17543859649122806,0.23170731707317074,0.27818590674269184,0.015653165056338892,0.021069536163089965,1
5,1,13,17,0.43333333333333335,0.5666666666666667,0.22807017543859648,0.2073170731707317,-0.09540399283502363,0.001979928820067884,0.021069536163089965,1
6,2,14,20,0.4117647058823529,0.5882352941176471,0.24561403508771928,0.24390243902439024,-0.006993035490970525,1.1969252017065455e-05,0.021069536163089965,1
7,3,20,26,0.43478260869565216,0.5652173913043478,0.3508771929824561,0.3170731707317073,-0.10130371496221188,0.0034244730346661245,0.021069536163089965,1
8,"0, 2",10,7,0.5882352941176471,0.4117647058823529,0.5263157894736842,0.25,-0.7444404749474958,0.2057006575512817,0.34285118157768263,2
9,1,4,8,0.3333333333333333,0.6666666666666666,0.21052631578947367,0.2857142857142857,0.3053816495511819,0.022961026282043752,0.34285118157768263,2
10,3,5,13,0.2777777777777778,0.7222222222222222,0.2631578947368421,0.4642857142857143,0.567745914018673,0.11418949774435719,0.34285118157768263,2
